Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,nishiojima,東大島駅前ハイツ,134500,都営新宿線「東大島」駅,3.0,4.0,,,,江東区大島7-39,2号棟,鉄骨鉄筋コンクリート造,9,906号室,3DK,66,14,131500,3000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3460_room.html?JKSS=000020906,都営新宿線「東大島」駅 徒歩3～4分<br>都営新宿線「大島」駅 徒歩10～12分<br>JR総武線・東武亀戸線「亀戸」駅バス11分 徒歩2～3分
tokyo,nishiojima,東大島駅前ハイツ,134500,都営新宿線「大島」駅,10.0,12.0,,,,江東区大島7-39,2号棟,鉄骨鉄筋コンクリート造,9,906号室,3DK,66,14,131500,3000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3460_room.html?JKSS=000020906,都営新宿線「東大島」駅 徒歩3～4分<br>都営新宿線「大島」駅 徒歩10～12分<br>JR総武線・東武亀戸線「亀戸」駅バス11分 徒歩2～3分
tokyo,nishiojima,東大島駅前ハイツ,134500,,,,JR総武線・東武亀戸線「亀戸」駅,13.0,14.0,江東区大島7-39,2号棟,鉄骨鉄筋コンクリート造,9,906号室,3DK,66,14,131500,3000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3460_room.html?JKSS=000020906,都営新宿線「東大島」駅 徒歩3～4分<br>都営新宿線「大島」駅 徒歩10～12分<br>JR総武線・東武亀戸線「亀戸」駅バス11分 徒歩2～3分
tokyo,nishiojima,シティコート大島,162600,都営新宿線「大島」駅,3,7,,,,江東区大島6-14,2号棟,鉄筋コンクリート造,1,102号室,2LDK,69,5,158000,4600,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5900_room.html?JKSS=000020102,都営新宿線「大島」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩15～18分<br>JR総武線・東武亀戸線「亀戸」駅バス4～6分 徒歩1～5分
tokyo,nishiojima,シティコート大島,162600,JR総武線・東武亀戸線「亀戸」駅,15,18,JR総武線・東武亀戸線「亀戸」駅,5.0,11.0,江東区大島6-14,2号棟,鉄筋コンクリート造,1,102号室,2LDK,69,5,158000,4600,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5900_room.html?JKSS=000020102,都営新宿線「大島」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩15～18分<br>JR総武線・東武亀戸線「亀戸」駅バス4～6分 徒歩1～5分
tokyo,nishiojima,イーストコモンズ清澄白河セントラルタワー,175700,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅,7.0,7.0,,,,江東区白河4-3-1,,鉄筋コンクリート造,11,1111号室,1LDK,51,33,169200,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6950_room.html?JKSS=000001111,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩7分<br>都営新宿線「菊川」駅 徒歩10分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス7分 徒歩7分
tokyo,nishiojima,イーストコモンズ清澄白河セントラルタワー,175700,都営新宿線「菊川」駅,10.0,10.0,,,,江東区白河4-3-1,,鉄筋コンクリート造,11,1111号室,1LDK,51,33,169200,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6950_room.html?JKSS=000001111,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩7分<br>都営新宿線「菊川」駅 徒歩10分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス7分 徒歩7分
tokyo,nishiojima,イーストコモンズ清澄白河セントラルタワー,175700,,,,JR総武線・東京メトロ半蔵門線「錦糸町」駅,14.0,14.0,江東区白河4-3-1,,鉄筋コンクリート造,11,1111号室,1LDK,51,33,169200,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6950_room.html?JKSS=000001111,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩7分<br>都営新宿線「菊川」駅 徒歩10分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス7分 徒歩7分
tokyo,yaesu,ラ・ヴェール東陽町,175400,東京メトロ東西線「東陽町」駅,10.0,10.0,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,2,215号室,2LDK,73,12,169900,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000215,東京メトロ東西線「東陽町」駅 徒歩10分<br>JR京葉線「潮見」駅 徒歩22分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分
tokyo,yaesu,ラ・ヴェール東陽町,175400,JR京葉線「潮見」駅,22.0,22.0,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,2,215号室,2LDK,73,12,169900,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000215,東京メトロ東西線「東陽町」駅 徒歩10分<br>JR京葉線「潮見」駅 徒歩22分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分
