Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,kitasenju,花畑,68900,東武伊勢崎線「谷塚」駅,17.0,24.0,,,,足立区花畑5,48号棟,鉄筋コンクリート造,2,204号室,3K,43,5,65200,3700,2か月,['健康寿命サポート'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000048204,東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分<br>東武伊勢崎線「谷塚」駅 徒歩17～24分
tokyo,kitasenju,竹の塚第二,74800,東武伊勢崎線「竹ノ塚」駅,6,12,,,,足立区竹の塚1-5ほか,18号棟,鉄筋コンクリート造,4,401号室,2DK,41,4,70700,4100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310_room.html?JKSS=000018401,東武伊勢崎線「竹ノ塚」駅 徒歩6～12分
tokyo,kitasenju,竹の塚第二,76900,東武伊勢崎線「竹ノ塚」駅,6,12,,,,足立区竹の塚1-5ほか,19号棟,鉄筋コンクリート造,3,302号室,2DK,41,4,72800,4100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310_room.html?JKSS=000019302,東武伊勢崎線「竹ノ塚」駅 徒歩6～12分
tokyo,kitasenju,竹の塚第二,76900,東武伊勢崎線「竹ノ塚」駅,6,12,,,,足立区竹の塚1-5ほか,22号棟,鉄筋コンクリート造,3,302号室,2DK,41,4,72800,4100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310_room.html?JKSS=000022302,東武伊勢崎線「竹ノ塚」駅 徒歩6～12分
tokyo,kitasenju,栗原,77270,東武伊勢崎線「西新井」駅,8,13,,,,足立区栗原2-5ほか,7号棟,鉄筋コンクリート造,5,501号室,1LDK,40,5,73000,4270,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1600_room.html?JKSS=000007501,東武伊勢崎線「西新井」駅 徒歩8～13分
tokyo,kitasenju,栗原,79670,東武伊勢崎線「西新井」駅,8,13,,,,足立区栗原2-5ほか,13号棟,鉄筋コンクリート造,4,405号室,1LDK,40,5,75400,4270,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1600_room.html?JKSS=000013405,東武伊勢崎線「西新井」駅 徒歩8～13分
tokyo,kitasenju,栗原,81970,東武伊勢崎線「西新井」駅,8,13,,,,足立区栗原2-5ほか,5号棟,鉄筋コンクリート造,2,204号室,1LDK,40,5,77700,4270,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1600_room.html?JKSS=000005204,東武伊勢崎線「西新井」駅 徒歩8～13分
tokyo,kitasenju,江北六丁目,77900,日暮里舎人ライナー「西新井大師西」駅,2.0,6.0,,,,足立区江北6-30ほか,27-1号棟,鉄筋コンクリート造,4,403号室,2DK,41,5,74600,3300,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2160_room.html?JKSS=027001403,日暮里舎人ライナー「西新井大師西」駅 徒歩2～6分<br>東武伊勢崎線「西新井」駅バス9分 徒歩2～6分
tokyo,kitasenju,江北六丁目,77900,,,,東武伊勢崎線「西新井」駅,11.0,15.0,足立区江北6-30ほか,27-1号棟,鉄筋コンクリート造,4,403号室,2DK,41,5,74600,3300,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2160_room.html?JKSS=027001403,日暮里舎人ライナー「西新井大師西」駅 徒歩2～6分<br>東武伊勢崎線「西新井」駅バス9分 徒歩2～6分
tokyo,kitasenju,大谷田一丁目,82000,JR常盤線「亀有」駅,18.0,23.0,,,,足立区大谷田1-1,1号棟,鉄筋コンクリート造,10,1012号室,1LDK,48,14,78300,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011012,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,82000,,,,JR常磐線「亀有」駅,5.0,7.0,足立区大谷田1-1,1号棟,鉄筋コンクリート造,10,1012号室,1LDK,48,14,78300,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011012,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,82000,東京メトロ千代田線「北綾瀬」駅,16.0,19.0,,,,足立区大谷田1-1,1号棟,鉄筋コンクリート造,10,1012号室,1LDK,48,14,78300,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011012,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,82700,JR常盤線「亀有」駅,18.0,23.0,,,,足立区大谷田1-1,1号棟,鉄筋コンクリート造,13,1313号室,1LDK,48,14,79000,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011313,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,82700,,,,JR常磐線「亀有」駅,5.0,7.0,足立区大谷田1-1,1号棟,鉄筋コンクリート造,13,1313号室,1LDK,48,14,79000,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011313,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,82700,東京メトロ千代田線「北綾瀬」駅,16.0,19.0,,,,足立区大谷田1-1,1号棟,鉄筋コンクリート造,13,1313号室,1LDK,48,14,79000,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011313,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,83200,JR常盤線「亀有」駅,18.0,23.0,,,,足立区大谷田1-1,9号棟,鉄筋コンクリート造,8,812号室,2DK,48,14,79500,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000090812,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,83200,,,,JR常磐線「亀有」駅,5.0,7.0,足立区大谷田1-1,9号棟,鉄筋コンクリート造,8,812号室,2DK,48,14,79500,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000090812,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,83200,東京メトロ千代田線「北綾瀬」駅,16.0,19.0,,,,足立区大谷田1-1,9号棟,鉄筋コンクリート造,8,812号室,2DK,48,14,79500,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000090812,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,83200,JR常盤線「亀有」駅,18.0,23.0,,,,足立区大谷田1-1,9号棟,鉄筋コンクリート造,10,1005号室,2DK,48,14,79500,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000091005,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,83200,,,,JR常磐線「亀有」駅,5.0,7.0,足立区大谷田1-1,9号棟,鉄筋コンクリート造,10,1005号室,2DK,48,14,79500,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000091005,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,83200,東京メトロ千代田線「北綾瀬」駅,16.0,19.0,,,,足立区大谷田1-1,9号棟,鉄筋コンクリート造,10,1005号室,2DK,48,14,79500,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000091005,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,91700,JR常盤線「亀有」駅,18.0,23.0,,,,足立区大谷田1-1,5号棟,鉄筋コンクリート造,5,501号室,3DK,60,14,88000,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000050501,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,91700,,,,JR常磐線「亀有」駅,5.0,7.0,足立区大谷田1-1,5号棟,鉄筋コンクリート造,5,501号室,3DK,60,14,88000,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000050501,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,大谷田一丁目,91700,東京メトロ千代田線「北綾瀬」駅,16.0,19.0,,,,足立区大谷田1-1,5号棟,鉄筋コンクリート造,5,501号室,3DK,60,14,88000,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000050501,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分
tokyo,kitasenju,フレール西新井第一,86100,東武大師線「大師前」駅,5,8,,,,足立区西新井1-33ほか,3号棟,鉄筋コンクリート造,5,511号室,1LDK,49,8,80800,5300,2か月,['子育て割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5660_room.html?JKSS=000030511,東武大師線「大師前」駅 徒歩5～8分<br>日暮里舎人ライナー「西新井大師西」駅 徒歩17～18分<br>東武伊勢崎線「西新井」駅 徒歩13～15分
tokyo,kitasenju,フレール西新井第一,86100,日暮里舎人ライナー「西新井大師西」駅,17,18,,,,足立区西新井1-33ほか,3号棟,鉄筋コンクリート造,5,511号室,1LDK,49,8,80800,5300,2か月,['子育て割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5660_room.html?JKSS=000030511,東武大師線「大師前」駅 徒歩5～8分<br>日暮里舎人ライナー「西新井大師西」駅 徒歩17～18分<br>東武伊勢崎線「西新井」駅 徒歩13～15分
tokyo,kitasenju,フレール西新井第一,86100,東武伊勢崎線「西新井」駅,13,15,,,,足立区西新井1-33ほか,3号棟,鉄筋コンクリート造,5,511号室,1LDK,49,8,80800,5300,2か月,['子育て割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5660_room.html?JKSS=000030511,東武大師線「大師前」駅 徒歩5～8分<br>日暮里舎人ライナー「西新井大師西」駅 徒歩17～18分<br>東武伊勢崎線「西新井」駅 徒歩13～15分
tokyo,kitasenju,フレール西新井第一,100100,東武大師線「大師前」駅,5,8,,,,足立区西新井1-33ほか,2号棟,鉄筋コンクリート造,1,104号室,2DK,51,8,94800,5300,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5660_room.html?JKSS=000020104,東武大師線「大師前」駅 徒歩5～8分<br>日暮里舎人ライナー「西新井大師西」駅 徒歩17～18分<br>東武伊勢崎線「西新井」駅 徒歩13～15分
tokyo,kitasenju,フレール西新井第一,100100,日暮里舎人ライナー「西新井大師西」駅,17,18,,,,足立区西新井1-33ほか,2号棟,鉄筋コンクリート造,1,104号室,2DK,51,8,94800,5300,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5660_room.html?JKSS=000020104,東武大師線「大師前」駅 徒歩5～8分<br>日暮里舎人ライナー「西新井大師西」駅 徒歩17～18分<br>東武伊勢崎線「西新井」駅 徒歩13～15分
tokyo,kitasenju,フレール西新井第一,100100,東武伊勢崎線「西新井」駅,13,15,,,,足立区西新井1-33ほか,2号棟,鉄筋コンクリート造,1,104号室,2DK,51,8,94800,5300,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5660_room.html?JKSS=000020104,東武大師線「大師前」駅 徒歩5～8分<br>日暮里舎人ライナー「西新井大師西」駅 徒歩17～18分<br>東武伊勢崎線「西新井」駅 徒歩13～15分
tokyo,oji,ハートアイランド新田四番街,94400,,,,JR京浜東北・根岸線「王子」駅,14.0,14.0,足立区新田3-35,32号棟,鉄筋コンクリート造,4,423号室,1K,45,14,88900,5500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7120_room.html?JKSS=000320423,JR京浜東北・根岸線「王子」駅バス12分 徒歩2分<br>東京メトロ南北線「王子神谷」駅 徒歩22～23分
tokyo,oji,ハートアイランド新田四番街,94400,東京メトロ南北線「王子神谷」駅,22.0,23.0,,,,足立区新田3-35,32号棟,鉄筋コンクリート造,4,423号室,1K,45,14,88900,5500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7120_room.html?JKSS=000320423,JR京浜東北・根岸線「王子」駅バス12分 徒歩2分<br>東京メトロ南北線「王子神谷」駅 徒歩22～23分
tokyo,oji,ハートアイランド新田一番街,101700,,,,JR京浜東北・根岸線「王子」駅,14.0,15.0,足立区新田3―36,1号棟,鉄筋コンクリート造,2,207号室,1K,47,11,95200,6500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6740_room.html?JKSS=000010207,JR京浜東北・根岸線「王子」駅バス13分 徒歩1～2分<br>東京メトロ南北線「王子神谷」駅 徒歩19～20分
tokyo,oji,ハートアイランド新田一番街,101700,東京メトロ南北線「王子神谷」駅,19.0,20.0,,,,足立区新田3―36,1号棟,鉄筋コンクリート造,2,207号室,1K,47,11,95200,6500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6740_room.html?JKSS=000010207,JR京浜東北・根岸線「王子」駅バス13分 徒歩1～2分<br>東京メトロ南北線「王子神谷」駅 徒歩19～20分
tokyo,oji,ハートアイランド新田一番街,107600,,,,JR京浜東北・根岸線「王子」駅,14.0,15.0,足立区新田3―36,3号棟,鉄筋コンクリート造,8,808号室,1K,49,16,101100,6500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6740_room.html?JKSS=000030808,JR京浜東北・根岸線「王子」駅バス13分 徒歩1～2分<br>東京メトロ南北線「王子神谷」駅 徒歩19～20分
